Cities,LatBP_NS,Long_BP_EW
Accra_(Ghana),5.55803,-0.201077
Agadir_(Morocco),30.433333,-9.6
Almaty_(Kazakhstan),43.2775,76.8958
Antique_(Philippines),10.75,121.95
Attock_(Pakistan),33.766667,72.366667
Auckland_(New_Zealand),-36.840556,174.74
Bangalore_(India),12.97,77.57
Bath_(United_Kingdom),51.38,-2.36
Cairo_(Egypt),30.05,31.233333
Curitiba_(Brazil),-25.4553,-49.2627
Damascus_(Syria),33.513056,36.291944
Dera_Ghazi_Khan_(Pakistan),30.05,70.633333
Drama_(Greece),41.15,24.133333
Goshen_(USA),41.581944,-85.83666
Guadalajara_(Mexico),20.666667,-103.35
Guatemala_City_(Guatemala),14.622911,-90.531481
Guayaquil_(Equator),-2.183333,-79.883333
Hyderabad_(India),17.37,78.48
Ibadan_(Nigeria),7.396389,3.916667
Ifrane_(Morocco),33.533333,-5.116667
Jacobabad_(Pakistan),28.276944,68.451389
Kaohsiung_(Taiwan),22.633333,120.266667
Kashan_(Iran),33.98,51.58
Kathmandu_(Nepal),27.7,85.333333
Ketaki_(India),24.6155421,84.4559053
Kolkata_(India),22.566667,88.366667
Kowloon_(Hong_Kong),22.316667,114.183333
Lyon_(France),45.76,4.84
Manikganj_(Bangladesh),23.85,90.01
Manresa_(Spain),41.726389,1.8233
Montelimar_(France),44.5581,4.7508
Quetta_(Pakistan),30.183333,67.0
Rawalpindi_(Pakistan),33.6,73.033333
Recife_(Brazil),-8.05,-34.9
Roanne_(France),46.0367,4.0689
Saint-Etienne_(France),45.4347,4.3903
Saint-Priest-en-Jarez_(French),45.475,4.378889
Santa_Clara_(Cuba),22.4052,-79.9541
Seattle_(USA),47.609722,-122.333056
Tarn_Taran_(India),31.4491,74.9205
Taurus_mountains_(Turkey),37,33
Tehran_(Iran),35.680733,51.413934
Wuhan_(China),30.566667,114.266667
Zanjan_(Iran),36.666667,48.483333
