"","x1","x2","x3","x4","x5"
"1",652,500,32,5464,66606
"2",470,504,38,5104,48055
"3",474,518,37,5053,48393
"4",456,491,35,4902,46535
"5",356,484,39,5059,36407
"6",455,511,37,4658,46297
"7",339,496,55,4671,34984
"8",225,506,31,5028,23384
"9",429,505,35,4893,43803
"10",320,503,57,4458,32990
"11",344,501,40,5020,35285
"12",533,509,30,4416,54253
"13",299,494,38,4685,30715
"14",356,497,28,5196,36399
"15",593,497,43,4960,60448
"16",346,489,39,5052,35720
"17",438,502,37,5009,44739
"18",409,514,45,4971,41633
"19",400,490,42,4848,41248
"20",402,497,36,4801,41275
"21",453,521,40,4919,46908
"22",345,504,48,5285,35945
"23",386,501,37,5055,39837
"24",323,495,52,4763,33428
"25",346,504,12,4724,35547
"26",258,489,43,5349,26423
"27",426,491,38,4940,43338
"28",400,496,41,5238,41323
"29",518,501,42,5374,52771
"30",331,500,46,5126,34117
"31",414,503,48,5148,42566
"32",417,503,45,4918,42719
"33",392,499,30,4946,40157
"34",313,510,39,4971,31789
"35",412,509,40,5323,41945
"36",367,491,38,5115,37167
"37",305,483,50,5029,31375
"38",336,498,44,4569,34748
"39",373,493,44,5212,38215
"40",254,496,44,4748,26345
"41",441,491,42,5252,44742
"42",306,492,39,5040,31052
"43",459,496,42,4678,46884
"44",550,500,37,4931,56257
"45",539,500,33,5731,55089
"46",465,498,47,4711,47255
"47",441,501,51,4796,45303
"48",392,494,32,4981,39552
"49",227,505,45,4966,23655
"50",508,508,43,5000,51914
"51",355,493,36,4848,36463
"52",343,501,40,4780,35126
"53",446,488,33,4524,45737
"54",498,499,46,4998,50941
"55",348,493,37,4578,35390
"56",511,508,37,5147,51972
"57",433,499,38,5322,44234
"58",342,507,52,4316,35490
"59",444,495,52,4743,45136
"60",414,492,45,4987,42561
"61",467,493,51,5245,47678
"62",318,509,34,5337,32669
"63",283,496,43,4487,29369
"64",507,494,50,4951,51906
"65",366,506,48,4879,37485
"66",346,505,37,4978,35309
"67",393,482,39,4643,40239
"68",261,509,40,5348,27005
"69",404,493,37,4629,41713
"70",407,501,35,4860,41917
"71",349,499,50,5280,35888
"72",328,508,44,5211,33890
"73",259,510,43,5299,26439
"74",466,498,50,4553,47535
"75",368,513,32,5108,37900
"76",305,495,37,4784,31123
"77",345,513,34,4678,35890
"78",368,503,51,4869,37922
"79",435,498,34,4811,44723
"80",420,492,40,4857,43526
"81",332,498,54,5001,34245
"82",333,497,48,4744,33834
"83",319,502,34,5061,33329
"84",340,491,37,5175,34653
"85",340,505,32,4557,34907
"86",406,492,24,4594,41428
"87",487,509,38,5069,50182
"88",599,505,28,4961,60982
"89",334,495,49,5117,34413
"90",300,498,37,4849,30981
"91",251,500,29,5316,25919
"92",428,485,42,5138,43663
"93",384,505,40,4710,39303
"94",353,500,36,4748,36242
"95",423,487,37,4695,43873
"96",384,497,39,4985,39626
"97",548,487,41,5112,55781
"98",340,498,44,5062,35208
"99",489,502,48,5167,49691
"100",378,488,38,5080,38715
"101",421,508,45,4890,43332
"102",372,506,36,5099,38089
"103",336,489,47,5143,35058
"104",376,504,37,5388,38361
"105",290,508,39,4920,29886
"106",243,508,51,5143,25877
"107",407,499,38,4658,42392
"108",310,499,33,5275,31903
"109",289,499,41,5184,29841
"110",499,494,46,4629,50728
"111",341,508,34,5237,35125
"112",378,498,41,5131,38548
"113",317,508,42,5555,32197
"114",259,508,46,5133,26869
"115",380,508,39,5447,38947
"116",570,500,43,4759,57961
"117",347,497,42,4906,35095
"118",443,500,22,4740,45126
"119",366,503,43,5102,37629
"120",420,498,29,5175,42847
"121",312,486,30,4769,32271
"122",459,509,34,5250,46478
"123",548,503,51,5034,56147
"124",366,495,32,5126,37363
"125",433,503,28,5167,44195
"126",405,486,40,5091,41382
"127",501,501,43,5128,50979
"128",506,493,37,5134,51652
"129",437,512,41,5060,45017
"130",446,505,28,4662,45906
"131",415,478,39,4775,42606
"132",472,490,40,5104,47941
"133",423,493,44,5145,42869
"134",379,508,31,4524,38924
"135",482,489,40,4632,49589
"136",396,508,31,5326,40479
"137",458,503,27,4869,46988
"138",423,489,49,4968,43266
"139",345,498,45,4610,35644
"140",401,495,31,5516,41103
"141",418,499,33,5560,42575
"142",387,493,34,5123,39864
"143",430,500,36,4673,43994
"144",360,488,45,5092,37091
"145",442,479,39,4962,45291
"146",473,502,44,5183,48481
"147",468,491,44,5642,47908
"148",486,496,46,5225,49524
"149",436,509,22,5214,44359
"150",418,511,49,4944,42455
"151",522,498,52,5199,53268
"152",376,504,47,4961,38285
"153",422,498,46,5177,43140
"154",424,503,52,4707,43432
"155",337,510,42,4765,34908
"156",292,488,42,4616,30120
"157",304,503,40,5073,30954
"158",380,498,40,4961,39466
"159",522,507,39,4732,53299
"160",463,513,42,4941,47186
"161",358,482,39,4981,36686
"162",435,503,39,5467,44188
"163",423,484,35,4968,43702
"164",271,504,46,5459,27965
"165",439,506,40,4969,45198
"166",365,497,32,4684,37412
"167",400,501,41,5018,40611
"168",504,502,50,5368,51844
"169",360,502,35,4936,36624
"170",413,500,43,4900,42441
"171",523,500,35,4980,53287
"172",446,507,38,4603,45549
"173",400,492,34,4871,41230
"174",304,510,39,4851,31179
"175",385,511,35,4950,39373
"176",230,492,45,4960,23759
"177",276,491,42,5217,28525
"178",264,513,30,4944,27565
"179",437,501,52,4958,44910
"180",348,488,43,4822,35301
"181",439,490,37,4601,44670
"182",441,513,35,5413,44950
"183",484,508,37,4528,49544
"184",462,518,48,5315,47478
"185",459,504,37,5188,46805
"186",364,505,46,5544,37501
"187",385,503,52,4886,39050
"188",451,508,39,4969,46285
"189",339,491,29,4624,35144
"190",485,494,46,4567,49625
"191",406,498,40,4851,41566
"192",253,498,44,4958,26323
"193",427,507,36,5149,43512
"194",338,520,40,4898,34634
"195",436,496,27,5101,44697
"196",229,495,34,4813,23561
"197",300,507,42,4607,31499
"198",303,496,36,4825,31588
"199",426,492,35,4666,43913
"200",523,491,33,4951,53374
"201",335,495,39,4866,34020
"202",531,505,38,5069,53403
"203",484,491,20,4998,49729
"204",345,492,57,4845,35135
"205",341,501,47,4532,34847
"206",470,496,44,4558,47923
"207",365,498,45,4671,37573
"208",421,499,37,4763,43455
"209",517,489,34,5071,53148
"210",367,496,32,5008,38057
"211",381,507,51,4946,38952
"212",461,500,38,5351,47624
"213",376,492,32,4638,38732
"214",444,499,24,5011,45249
"215",398,507,43,4680,40779
"216",469,487,43,4982,47585
"217",395,502,37,4739,40360
"218",476,500,29,5132,49059
"219",391,502,33,5348,40061
"220",633,498,35,4691,64316
"221",275,509,41,5315,28561
"222",464,480,42,4714,47766
"223",392,505,39,4649,40579
"224",320,510,43,4974,33163
"225",385,490,51,4677,38915
"226",381,499,48,4864,38502
"227",363,499,35,4855,37054
"228",409,491,44,5117,41777
"229",412,492,40,4430,42312
"230",509,492,52,4914,51767
"231",466,505,41,4957,47785
"232",403,499,42,4839,41051
"233",400,508,39,4962,40722
"234",397,505,36,4986,40666
"235",429,493,41,5396,43502
"236",442,489,36,5180,44658
"237",356,513,28,5256,36835
"238",307,498,28,5492,31873
"239",369,498,34,5027,37980
"240",556,503,41,4860,56245
"241",481,499,53,4943,49352
"242",461,481,39,5055,47308
"243",500,507,38,5142,51153
"244",408,498,44,4981,41520
"245",381,506,51,5282,38935
"246",448,500,42,5410,45591
"247",194,500,41,4866,20664
"248",318,508,41,4848,32943
"249",540,493,33,4926,55054
"250",344,497,53,4837,35401
"251",430,490,45,5219,43796
"252",268,480,35,5116,28021
"253",409,497,37,4751,42397
"254",550,495,33,4775,55875
"255",346,493,31,4630,35439
"256",244,500,22,5139,25301
"257",418,498,38,4922,42655
"258",391,503,48,4919,40516
"259",483,493,30,5091,49614
"260",389,512,33,4849,39851
"261",469,508,37,4951,47878
"262",408,499,21,5171,41275
"263",417,491,48,5174,42564
"264",453,501,33,4790,46231
"265",334,502,31,4948,34843
"266",347,506,28,4842,35587
"267",380,503,38,5161,38715
"268",497,504,28,4997,50917
"269",408,500,42,5068,41686
"270",442,483,41,5076,45462
"271",446,492,44,4831,45713
"272",282,494,49,4894,29121
"273",411,496,34,5051,41828
"274",424,497,45,4808,43512
"275",293,508,34,5252,30109
"276",205,486,45,4588,21144
"277",278,505,49,4504,29082
"278",351,485,34,4652,36119
"279",349,513,38,4760,35665
"280",198,500,44,5039,20929
"281",288,501,46,4869,29846
"282",363,490,38,5070,37347
"283",327,503,34,5172,34039
"284",484,499,49,5308,49843
"285",534,494,31,5133,54423
"286",287,493,44,5147,29233
"287",482,503,52,5355,49333
"288",389,486,46,5007,39791
"289",377,502,51,5367,38292
"290",429,490,31,4993,43970
"291",404,495,34,5137,41488
"292",408,484,46,4656,41284
"293",321,500,44,5136,33069
"294",291,487,43,5433,29303
"295",384,497,35,5006,39565
"296",321,500,44,4884,33185
"297",303,498,42,4967,31239
"298",354,517,35,4932,36521
"299",387,505,55,5078,39442
"300",454,499,38,4733,46485
